[2019/06/07 20:59:35][CONFIG][initLogger]  [32mLogging initialized.[0m
[2019/06/07 21:00:22][INFO][retrieveCartRequest]  TransactionID: cb242fd00dffa16b85b8298ac5c9b549986c93bd1414a10b071602c9cef9c1420543f9f7a3f24ec5b7b9a3e1f39e3e683844d7d81a6d31c9d238fb26aa9543a1
[2019/06/07 21:00:22][INFO][retrieveCartRequest]  Verifying session with IDM...
[2019/06/07 21:00:22][INFO][retrieveCartRequest]  Building client...
[2019/06/07 21:00:22][INFO][retrieveCartRequest]  Building URI...
[2019/06/07 21:00:22][INFO][retrieveCartRequest]  Setting path to endpoint...
[2019/06/07 21:00:22][INFO][retrieveCartRequest]  Building WebTarget...
[2019/06/07 21:00:22][INFO][retrieveCartRequest]  Starting invocation builder...
[2019/06/07 21:00:22][INFO][retrieveCartRequest]  Setting payload of the request
[2019/06/07 21:00:22][INFO][retrieveCartRequest]  Check which values are null: {"email":"LIWy4P4Eph@MXDzf.com","sessionID":"36dd80ac11463b4673f055dd2bcc1a299fb703cd22f6128dd9169f5252f4d7b230b4e921ebfd143121c7d1df6f3a14ea8f40178d5fd7e00f2ce38b670792dd18"}
[2019/06/07 21:00:22][INFO][verifyModel]  Verifying model format...
[2019/06/07 21:00:22][INFO][verifyModel]  Attempting to deserialize JSON to POJO
[2019/06/07 21:00:22][INFO][verifyModel]  Successfully deserialized JSON to POJO.
[2019/06/07 21:00:22][INFO][verifyModel]  Model has been validated.
[2019/06/07 21:00:22][INFO][retrieveCartRequest]  Sending request...
[2019/06/07 21:00:22][INFO][retrieveCartRequest]  Sent!
[2019/06/07 21:00:22][INFO][retrieveCartRequest]  Reading response into model...
[2019/06/07 21:00:22][INFO][retrieveCartRequest]  Successfully read into model!
[2019/06/07 21:00:22][INFO][retrieveCartRequest]  The result code is: 130
[2019/06/07 21:00:22][INFO][verifyModel]  Verifying model format...
[2019/06/07 21:00:22][INFO][verifyModel]  Attempting to deserialize JSON to POJO
[2019/06/07 21:00:22][INFO][verifyModel]  Successfully deserialized JSON to POJO.
[2019/06/07 21:00:22][INFO][verifyModel]  Model has been validated.
[2019/06/07 21:00:22][INFO][process]  Building client...
[2019/06/07 21:00:22][INFO][process]  Building WebTarget...
[2019/06/07 21:00:22][INFO][process]  Starting invocation builder...
[2019/06/07 21:00:22][INFO][process]  Setting payload of the request
[2019/06/07 21:00:22][INFO][process]  Sending request...
[2019/06/07 21:00:22][INFO][process]  This is a POST request
[2019/06/07 21:00:22][INFO][process]  Sent!
[2019/06/07 21:00:23][INFO][report]  EMAIL: LIWy4P4Eph@MXDzf.com
[2019/06/07 21:00:23][INFO][report]  SESSIONID: 36dd80ac11463b4673f055dd2bcc1a299fb703cd22f6128dd9169f5252f4d7b230b4e921ebfd143121c7d1df6f3a14ea8f40178d5fd7e00f2ce38b670792dd18
[2019/06/07 21:00:23][INFO][report]  TRANSACTIONID: cb242fd00dffa16b85b8298ac5c9b549986c93bd1414a10b071602c9cef9c1420543f9f7a3f24ec5b7b9a3e1f39e3e683844d7d81a6d31c9d238fb26aa9543a1
[2019/06/07 21:00:23][INFO][report]  Trying query: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT response, httpstatus FROM responses WHERE transactionId = 'cb242fd00dffa16b85b8298ac5c9b549986c93bd1414a10b071602c9cef9c1420543f9f7a3f24ec5b7b9a3e1f39e3e683844d7d81a6d31c9d238fb26aa9543a1';
[2019/06/07 21:00:23][INFO][deleteCartRequest]  Received request to delete an item.
[2019/06/07 21:00:23][INFO][deleteCartRequest]  Email: LIWy4P4Eph@MXDzf.com
[2019/06/07 21:00:23][INFO][deleteCartRequest]  SessionID: 36dd80ac11463b4673f055dd2bcc1a299fb703cd22f6128dd9169f5252f4d7b230b4e921ebfd143121c7d1df6f3a14ea8f40178d5fd7e00f2ce38b670792dd18
[2019/06/07 21:00:23][INFO][deleteCartRequest]  TransactionID: 7985dab562b8cc4184134132f0baf0e6b2b817a05af3a2983a9da074874bf10a5006b8d8b1b4c6e9a4cfff72dffec74767e2033309aa5e9dc8bf34d48e0d5f5e
[2019/06/07 21:00:23][INFO][deleteCartRequest]  Verifying session with IDM...
[2019/06/07 21:00:23][INFO][deleteCartRequest]  Building client...
[2019/06/07 21:00:23][INFO][deleteCartRequest]  Building URI...
[2019/06/07 21:00:23][INFO][deleteCartRequest]  Setting path to endpoint...
[2019/06/07 21:00:23][INFO][deleteCartRequest]  Building WebTarget...
[2019/06/07 21:00:23][INFO][deleteCartRequest]  Starting invocation builder...
[2019/06/07 21:00:23][INFO][deleteCartRequest]  Setting payload of the request
[2019/06/07 21:00:23][INFO][deleteCartRequest]  Check which values are null: {"email":"LIWy4P4Eph@MXDzf.com","sessionID":"36dd80ac11463b4673f055dd2bcc1a299fb703cd22f6128dd9169f5252f4d7b230b4e921ebfd143121c7d1df6f3a14ea8f40178d5fd7e00f2ce38b670792dd18"}
[2019/06/07 21:00:23][INFO][verifyModel]  Verifying model format...
[2019/06/07 21:00:23][INFO][verifyModel]  Attempting to deserialize JSON to POJO
[2019/06/07 21:00:23][INFO][verifyModel]  Successfully deserialized JSON to POJO.
[2019/06/07 21:00:23][INFO][verifyModel]  Model has been validated.
[2019/06/07 21:00:23][INFO][deleteCartRequest]  Sending request...
[2019/06/07 21:00:23][INFO][deleteCartRequest]  Sent!
[2019/06/07 21:00:23][INFO][deleteCartRequest]  Reading response into model...
[2019/06/07 21:00:23][INFO][deleteCartRequest]  Successfully read into model!
[2019/06/07 21:00:23][INFO][deleteCartRequest]  The result code is: 130
[2019/06/07 21:00:23][INFO][verifyModel]  Verifying model format...
[2019/06/07 21:00:23][INFO][verifyModel]  Attempting to deserialize JSON to POJO
[2019/06/07 21:00:23][INFO][verifyModel]  Successfully deserialized JSON to POJO.
[2019/06/07 21:00:23][INFO][verifyModel]  Model has been validated.
[2019/06/07 21:00:23][INFO][process]  Building client...
[2019/06/07 21:00:23][INFO][process]  Building WebTarget...
[2019/06/07 21:00:23][INFO][process]  Starting invocation builder...
[2019/06/07 21:00:23][INFO][process]  Setting payload of the request
[2019/06/07 21:00:23][INFO][process]  Sending request...
[2019/06/07 21:00:23][INFO][process]  This is a POST request
[2019/06/07 21:00:23][INFO][process]  Sent!
[2019/06/07 21:00:24][INFO][report]  EMAIL: LIWy4P4Eph@MXDzf.com
[2019/06/07 21:00:24][INFO][report]  SESSIONID: 36dd80ac11463b4673f055dd2bcc1a299fb703cd22f6128dd9169f5252f4d7b230b4e921ebfd143121c7d1df6f3a14ea8f40178d5fd7e00f2ce38b670792dd18
[2019/06/07 21:00:24][INFO][report]  TRANSACTIONID: 7985dab562b8cc4184134132f0baf0e6b2b817a05af3a2983a9da074874bf10a5006b8d8b1b4c6e9a4cfff72dffec74767e2033309aa5e9dc8bf34d48e0d5f5e
[2019/06/07 21:00:24][INFO][report]  Trying query: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT response, httpstatus FROM responses WHERE transactionId = '7985dab562b8cc4184134132f0baf0e6b2b817a05af3a2983a9da074874bf10a5006b8d8b1b4c6e9a4cfff72dffec74767e2033309aa5e9dc8bf34d48e0d5f5e';
[2019/06/07 21:00:24][INFO][retrieveCartRequest]  Received request to retrieve a cart.
[2019/06/07 21:00:24][INFO][retrieveCartRequest]  Email: LIWy4P4Eph@MXDzf.com
[2019/06/07 21:00:24][INFO][retrieveCartRequest]  SessionID: 128afea5be8b902e2ec06ae03614cfc32fb6b700dd741b6719ec4ffb43b0c77492f0ac0172fd970cd15d0e1cd2af2259829c99696785a426c337e3ff271f71ce
[2019/06/07 21:00:24][INFO][retrieveCartRequest]  TransactionID: f192e0198f97442e1a9b8534986fcf3cd4a9c6fdd67ff4afe463e9e507efd4fcd63ea102a23c15eddfe4dbf384270ee13ac66335e38c16568a26e6893087f0a8
[2019/06/07 21:00:24][INFO][retrieveCartRequest]  Verifying session with IDM...
[2019/06/07 21:00:24][INFO][retrieveCartRequest]  Building client...
[2019/06/07 21:00:24][INFO][retrieveCartRequest]  Building URI...
[2019/06/07 21:00:24][INFO][retrieveCartRequest]  Setting path to endpoint...
[2019/06/07 21:00:24][INFO][retrieveCartRequest]  Building WebTarget...
[2019/06/07 21:00:24][INFO][retrieveCartRequest]  Starting invocation builder...
[2019/06/07 21:00:24][INFO][retrieveCartRequest]  Setting payload of the request
[2019/06/07 21:00:24][INFO][retrieveCartRequest]  Check which values are null: {"email":"LIWy4P4Eph@MXDzf.com","sessionID":"128afea5be8b902e2ec06ae03614cfc32fb6b700dd741b6719ec4ffb43b0c77492f0ac0172fd970cd15d0e1cd2af2259829c99696785a426c337e3ff271f71ce"}
[2019/06/07 21:00:24][INFO][verifyModel]  Verifying model format...
[2019/06/07 21:00:24][INFO][verifyModel]  Attempting to deserialize JSON to POJO
[2019/06/07 21:00:24][INFO][verifyModel]  Successfully deserialized JSON to POJO.
[2019/06/07 21:00:24][INFO][verifyModel]  Model has been validated.
[2019/06/07 21:00:24][INFO][retrieveCartRequest]  Sending request...
[2019/06/07 21:00:24][INFO][retrieveCartRequest]  Sent!
[2019/06/07 21:00:24][INFO][retrieveCartRequest]  Reading response into model...
[2019/06/07 21:00:24][INFO][retrieveCartRequest]  Successfully read into model!
[2019/06/07 21:00:24][INFO][retrieveCartRequest]  The result code is: 134
[2019/06/07 21:08:55][INFO][searchMovieRequest]  Returns only basic information about the movie from the movies and ratings tables.
[2019/06/07 21:08:55][INFO][searchMovieRequest]  The query params are: {offset=[], limit=[], genre=[Action]}
[2019/06/07 21:08:55][INFO][searchMovieRequest]  Email: kendo1@gmail.com
[2019/06/07 21:08:55][INFO][searchMovieRequest]  SessionID: 1cba7a66ec581b3d105ffbe38671e377c6c0aeb16a4d78a64c0a0c3c7af8eeead98a44074ca46a5bea28fa3da68a0654f4bac3ae5685aa04a267b6554a76cb78
[2019/06/07 21:08:55][INFO][searchMovieRequest]  TransactionID: 8b32026d061dd6d1d92c1b1e23cae68e6a13911ccce754506bfee5cdeb8374d3c0458b17e84d2cbcae199c1592d3f47d1daadc686ddfa09fff6c619006766777
[2019/06/07 21:08:55][INFO][searchMovieRequest]  Verifying session with IDM...
[2019/06/07 21:08:55][INFO][searchMovieRequest]  Building client...
[2019/06/07 21:08:55][INFO][searchMovieRequest]  Building URI...
[2019/06/07 21:08:55][INFO][searchMovieRequest]  Setting path to endpoint...
[2019/06/07 21:08:55][INFO][searchMovieRequest]  Building WebTarget...
[2019/06/07 21:08:55][INFO][searchMovieRequest]  Starting invocation builder...
[2019/06/07 21:08:55][INFO][searchMovieRequest]  Setting payload of the request
[2019/06/07 21:08:55][INFO][searchMovieRequest]  Check which values are null: {"email":"kendo1@gmail.com","sessionID":"1cba7a66ec581b3d105ffbe38671e377c6c0aeb16a4d78a64c0a0c3c7af8eeead98a44074ca46a5bea28fa3da68a0654f4bac3ae5685aa04a267b6554a76cb78"}
[2019/06/07 21:08:55][INFO][verifyModel]  Verifying model format...
[2019/06/07 21:08:55][INFO][verifyModel]  Attempting to deserialize JSON to POJO
[2019/06/07 21:08:55][INFO][verifyModel]  Successfully deserialized JSON to POJO.
[2019/06/07 21:08:55][INFO][verifyModel]  Model has been validated.
[2019/06/07 21:08:55][INFO][searchMovieRequest]  Sending request...
[2019/06/07 21:10:54][INFO][searchMovieRequest]  Returns only basic information about the movie from the movies and ratings tables.
[2019/06/07 21:10:54][INFO][searchMovieRequest]  The query params are: {offset=[], year=[], director=[], limit=[], genre=[], title=[Love]}
[2019/06/07 21:10:54][INFO][searchMovieRequest]  Email: kendo1@gmail.com
[2019/06/07 21:10:54][INFO][searchMovieRequest]  SessionID: 1cba7a66ec581b3d105ffbe38671e377c6c0aeb16a4d78a64c0a0c3c7af8eeead98a44074ca46a5bea28fa3da68a0654f4bac3ae5685aa04a267b6554a76cb78
[2019/06/07 21:10:54][INFO][searchMovieRequest]  TransactionID: 875fcb4fc156f07222b96fc58bf46de363a8f9fc65df78ecfb25c0c036e4c1c601f673b10f45495f8b14866b254d39991f59768bc3bfb9eddbf9ce3c40a803e0
[2019/06/07 21:10:54][INFO][searchMovieRequest]  Verifying session with IDM...
[2019/06/07 21:10:54][INFO][searchMovieRequest]  Building client...
[2019/06/07 21:10:54][INFO][searchMovieRequest]  Building URI...
[2019/06/07 21:10:54][INFO][searchMovieRequest]  Setting path to endpoint...
[2019/06/07 21:10:54][INFO][searchMovieRequest]  Building WebTarget...
[2019/06/07 21:10:54][INFO][searchMovieRequest]  Starting invocation builder...
[2019/06/07 21:10:54][INFO][searchMovieRequest]  Setting payload of the request
[2019/06/07 21:10:54][INFO][searchMovieRequest]  Check which values are null: {"email":"kendo1@gmail.com","sessionID":"1cba7a66ec581b3d105ffbe38671e377c6c0aeb16a4d78a64c0a0c3c7af8eeead98a44074ca46a5bea28fa3da68a0654f4bac3ae5685aa04a267b6554a76cb78"}
[2019/06/07 21:10:54][INFO][verifyModel]  Verifying model format...
[2019/06/07 21:10:54][INFO][verifyModel]  Attempting to deserialize JSON to POJO
[2019/06/07 21:10:54][INFO][verifyModel]  Successfully deserialized JSON to POJO.
[2019/06/07 21:10:54][INFO][verifyModel]  Model has been validated.
[2019/06/07 21:10:54][INFO][searchMovieRequest]  Sending request...
[2019/06/07 21:10:54][INFO][searchMovieRequest]  Sent!
[2019/06/07 21:10:54][INFO][searchMovieRequest]  Reading response into model...
[2019/06/07 21:10:54][INFO][searchMovieRequest]  Successfully read into model!
[2019/06/07 21:10:54][INFO][searchMovieRequest]  The result code is: 14
[2019/06/07 21:11:04][INFO][loginUserRequest]  Received request to login a user.
[2019/06/07 21:11:04][INFO][verifyModel]  Verifying model format...
[2019/06/07 21:11:04][INFO][verifyModel]  Attempting to deserialize JSON to POJO
[2019/06/07 21:11:04][INFO][verifyModel]  Successfully deserialized JSON to POJO.
[2019/06/07 21:11:04][INFO][verifyModel]  Model has been validated.
[2019/06/07 21:11:04][INFO][process]  Building client...
[2019/06/07 21:11:04][INFO][process]  Building WebTarget...
[2019/06/07 21:11:04][INFO][process]  Starting invocation builder...
[2019/06/07 21:11:04][INFO][process]  Setting payload of the request
[2019/06/07 21:11:04][INFO][process]  Sending request...
[2019/06/07 21:11:04][INFO][process]  This is a POST request
[2019/06/07 21:11:05][INFO][process]  Sent!
[2019/06/07 21:11:05][INFO][report]  EMAIL: kendo1@gmail.com
[2019/06/07 21:11:05][INFO][report]  SESSIONID: null
[2019/06/07 21:11:05][INFO][report]  TRANSACTIONID: 7e3315ae6384c9872b977e168552dc90b620bc32ec65343b8e5f1c0d43d3a4258c5e2fba02355c5bdc2c37c0e08ce70f0bf4a9a9c15046598e2317fa2354a96d
[2019/06/07 21:11:05][INFO][report]  Trying query: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT response, httpstatus FROM responses WHERE transactionId = '7e3315ae6384c9872b977e168552dc90b620bc32ec65343b8e5f1c0d43d3a4258c5e2fba02355c5bdc2c37c0e08ce70f0bf4a9a9c15046598e2317fa2354a96d';
[2019/06/07 21:11:09][INFO][searchMovieRequest]  Returns only basic information about the movie from the movies and ratings tables.
[2019/06/07 21:11:09][INFO][searchMovieRequest]  The query params are: {offset=[], year=[], director=[], limit=[], genre=[], title=[Love]}
[2019/06/07 21:11:09][INFO][searchMovieRequest]  Email: kendo1@gmail.com
[2019/06/07 21:11:09][INFO][searchMovieRequest]  SessionID: 1cba7a66ec581b3d105ffbe38671e377c6c0aeb16a4d78a64c0a0c3c7af8eeead98a44074ca46a5bea28fa3da68a0654f4bac3ae5685aa04a267b6554a76cb78
[2019/06/07 21:11:09][INFO][searchMovieRequest]  TransactionID: 629e71ec76b3e236d2273ae3a8da7824365159eee1a5ec43ec0d401f154847e30dcc04dfcbef89f4fbf8b7552c04c6c055f5537fd3bc6bb51116fe9b80a981da
[2019/06/07 21:11:09][INFO][searchMovieRequest]  Verifying session with IDM...
[2019/06/07 21:11:09][INFO][searchMovieRequest]  Building client...
[2019/06/07 21:11:09][INFO][searchMovieRequest]  Building URI...
[2019/06/07 21:11:09][INFO][searchMovieRequest]  Setting path to endpoint...
[2019/06/07 21:11:09][INFO][searchMovieRequest]  Building WebTarget...
[2019/06/07 21:11:09][INFO][searchMovieRequest]  Starting invocation builder...
[2019/06/07 21:11:09][INFO][searchMovieRequest]  Setting payload of the request
[2019/06/07 21:11:09][INFO][searchMovieRequest]  Check which values are null: {"email":"kendo1@gmail.com","sessionID":"1cba7a66ec581b3d105ffbe38671e377c6c0aeb16a4d78a64c0a0c3c7af8eeead98a44074ca46a5bea28fa3da68a0654f4bac3ae5685aa04a267b6554a76cb78"}
[2019/06/07 21:11:09][INFO][verifyModel]  Verifying model format...
[2019/06/07 21:11:09][INFO][verifyModel]  Attempting to deserialize JSON to POJO
[2019/06/07 21:11:09][INFO][verifyModel]  Successfully deserialized JSON to POJO.
[2019/06/07 21:11:09][INFO][verifyModel]  Model has been validated.
[2019/06/07 21:11:09][INFO][searchMovieRequest]  Sending request...
[2019/06/07 21:11:09][INFO][searchMovieRequest]  Sent!
[2019/06/07 21:11:09][INFO][searchMovieRequest]  Reading response into model...
[2019/06/07 21:11:09][INFO][searchMovieRequest]  Successfully read into model!
[2019/06/07 21:11:09][INFO][searchMovieRequest]  The result code is: 14
[2019/06/07 21:11:14][INFO][loginUserRequest]  Received request to login a user.
[2019/06/07 21:11:14][INFO][verifyModel]  Verifying model format...
[2019/06/07 21:11:14][INFO][verifyModel]  Attempting to deserialize JSON to POJO
[2019/06/07 21:11:14][INFO][verifyModel]  Successfully deserialized JSON to POJO.
[2019/06/07 21:11:14][INFO][verifyModel]  Model has been validated.
[2019/06/07 21:11:14][INFO][process]  Building client...
[2019/06/07 21:11:14][INFO][process]  Building WebTarget...
[2019/06/07 21:11:14][INFO][process]  Starting invocation builder...
[2019/06/07 21:11:14][INFO][process]  Setting payload of the request
[2019/06/07 21:11:14][INFO][process]  Sending request...
[2019/06/07 21:11:14][INFO][process]  This is a POST request
[2019/06/07 21:11:14][INFO][process]  Sent!
[2019/06/07 21:11:14][INFO][report]  EMAIL: kendo1@gmail.com
[2019/06/07 21:11:14][INFO][report]  SESSIONID: null
[2019/06/07 21:11:14][INFO][report]  TRANSACTIONID: 9b681a510431766136c2de64f79dcbe0fa04f7bbef886cdbcd9bcc2983a614ed4c697fcdf0df7b34496b4edd1d9be98c31c8b541a951ba6d93957f159e87ad53
[2019/06/07 21:11:14][INFO][report]  Trying query: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT response, httpstatus FROM responses WHERE transactionId = '9b681a510431766136c2de64f79dcbe0fa04f7bbef886cdbcd9bcc2983a614ed4c697fcdf0df7b34496b4edd1d9be98c31c8b541a951ba6d93957f159e87ad53';
[2019/06/07 21:11:30][INFO][registerUserRequest]  Received request to register user.
[2019/06/07 21:11:30][INFO][verifyModel]  Verifying model format...
[2019/06/07 21:11:30][INFO][verifyModel]  Attempting to deserialize JSON to POJO
[2019/06/07 21:11:30][INFO][verifyModel]  Successfully deserialized JSON to POJO.
[2019/06/07 21:11:30][INFO][verifyModel]  Model has been validated.
[2019/06/07 21:11:30][INFO][process]  Building client...
[2019/06/07 21:11:30][INFO][process]  Building WebTarget...
[2019/06/07 21:11:30][INFO][process]  Starting invocation builder...
[2019/06/07 21:11:30][INFO][process]  Setting payload of the request
[2019/06/07 21:11:30][INFO][process]  Sending request...
[2019/06/07 21:11:30][INFO][process]  This is a POST request
[2019/06/07 21:11:30][INFO][report]  EMAIL: null
[2019/06/07 21:11:30][INFO][report]  SESSIONID: null
[2019/06/07 21:11:30][INFO][report]  TRANSACTIONID: 8c842340d99276d7b27ce8c736af176950b3ff970e504a7dd13040564816328a9c57dbfb4cac699f071338a626d7e6941919ed66e724b40f7efafefd48c15a8b
[2019/06/07 21:11:30][INFO][report]  Trying query: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT response, httpstatus FROM responses WHERE transactionId = '8c842340d99276d7b27ce8c736af176950b3ff970e504a7dd13040564816328a9c57dbfb4cac699f071338a626d7e6941919ed66e724b40f7efafefd48c15a8b';
[2019/06/07 21:11:30][WARNING][report]  SELECT Query in Report issue.
[2019/06/07 21:11:31][INFO][process]  Sent!
[2019/06/07 21:11:31][INFO][report]  EMAIL: null
[2019/06/07 21:11:31][INFO][report]  SESSIONID: null
[2019/06/07 21:11:31][INFO][report]  TRANSACTIONID: 8c842340d99276d7b27ce8c736af176950b3ff970e504a7dd13040564816328a9c57dbfb4cac699f071338a626d7e6941919ed66e724b40f7efafefd48c15a8b
[2019/06/07 21:11:32][INFO][report]  Trying query: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT response, httpstatus FROM responses WHERE transactionId = '8c842340d99276d7b27ce8c736af176950b3ff970e504a7dd13040564816328a9c57dbfb4cac699f071338a626d7e6941919ed66e724b40f7efafefd48c15a8b';
[2019/06/07 21:11:42][INFO][loginUserRequest]  Received request to login a user.
[2019/06/07 21:11:42][INFO][verifyModel]  Verifying model format...
[2019/06/07 21:11:42][INFO][verifyModel]  Attempting to deserialize JSON to POJO
[2019/06/07 21:11:42][INFO][verifyModel]  Successfully deserialized JSON to POJO.
[2019/06/07 21:11:42][INFO][verifyModel]  Model has been validated.
[2019/06/07 21:11:42][INFO][process]  Building client...
[2019/06/07 21:11:42][INFO][process]  Building WebTarget...
[2019/06/07 21:11:42][INFO][process]  Starting invocation builder...
[2019/06/07 21:11:42][INFO][process]  Setting payload of the request
[2019/06/07 21:11:42][INFO][process]  Sending request...
[2019/06/07 21:11:42][INFO][process]  This is a POST request
[2019/06/07 21:11:42][INFO][process]  Sent!
[2019/06/07 21:11:42][INFO][report]  EMAIL: gautam417@yahoo.com
[2019/06/07 21:11:42][INFO][report]  SESSIONID: null
[2019/06/07 21:11:42][INFO][report]  TRANSACTIONID: 1246bc263937494ab3aa55682377e20873df2488a2eb34d5fccdf7646464a7769e526243dabe2c90572f40d0e431b6940a22552f8ebffde66750c09b1bac0634
[2019/06/07 21:11:42][INFO][report]  Trying query: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT response, httpstatus FROM responses WHERE transactionId = '1246bc263937494ab3aa55682377e20873df2488a2eb34d5fccdf7646464a7769e526243dabe2c90572f40d0e431b6940a22552f8ebffde66750c09b1bac0634';
[2019/06/07 21:11:47][INFO][loginUserRequest]  Received request to login a user.
[2019/06/07 21:11:47][INFO][verifyModel]  Verifying model format...
[2019/06/07 21:11:47][INFO][verifyModel]  Attempting to deserialize JSON to POJO
[2019/06/07 21:11:47][INFO][verifyModel]  Successfully deserialized JSON to POJO.
[2019/06/07 21:11:47][INFO][verifyModel]  Model has been validated.
[2019/06/07 21:11:47][INFO][process]  Building client...
[2019/06/07 21:11:47][INFO][process]  Building WebTarget...
[2019/06/07 21:11:47][INFO][process]  Starting invocation builder...
[2019/06/07 21:11:47][INFO][process]  Setting payload of the request
[2019/06/07 21:11:47][INFO][process]  Sending request...
[2019/06/07 21:11:47][INFO][process]  This is a POST request
[2019/06/07 21:11:47][INFO][process]  Sent!
[2019/06/07 21:11:48][INFO][report]  EMAIL: gautam417@yahoo.com
[2019/06/07 21:11:48][INFO][report]  SESSIONID: null
[2019/06/07 21:11:48][INFO][report]  TRANSACTIONID: be6c4c3f2618287f454a5e96c714b967980b1beb29c1a78b1c48c02a23868f2487d4ce15c2c626c7dbec417172a7fbb2cdf0f3732ce8ff8c5159a7f19fe37388
[2019/06/07 21:11:48][INFO][report]  Trying query: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT response, httpstatus FROM responses WHERE transactionId = 'be6c4c3f2618287f454a5e96c714b967980b1beb29c1a78b1c48c02a23868f2487d4ce15c2c626c7dbec417172a7fbb2cdf0f3732ce8ff8c5159a7f19fe37388';
[2019/06/07 21:12:02][INFO][registerUserRequest]  Received request to register user.
[2019/06/07 21:12:02][INFO][verifyModel]  Verifying model format...
[2019/06/07 21:12:02][INFO][verifyModel]  Attempting to deserialize JSON to POJO
[2019/06/07 21:12:02][INFO][verifyModel]  Successfully deserialized JSON to POJO.
[2019/06/07 21:12:02][INFO][verifyModel]  Model has been validated.
[2019/06/07 21:12:02][INFO][process]  Building client...
[2019/06/07 21:12:02][INFO][process]  Building WebTarget...
[2019/06/07 21:12:02][INFO][process]  Starting invocation builder...
[2019/06/07 21:12:02][INFO][process]  Setting payload of the request
[2019/06/07 21:12:02][INFO][process]  Sending request...
[2019/06/07 21:12:02][INFO][process]  This is a POST request
[2019/06/07 21:12:02][INFO][process]  Sent!
[2019/06/07 21:12:02][INFO][report]  EMAIL: null
[2019/06/07 21:12:02][INFO][report]  SESSIONID: null
[2019/06/07 21:12:02][INFO][report]  TRANSACTIONID: 17ee4e015a38f5273b3802c985205bcaeed8bb66b2b89e0a570b4122af71b85f855f3ec785a5b83b1bd0db8b216c10e68bb3ed54ebaf8bc2573109c3ed4ab77e
[2019/06/07 21:12:02][INFO][report]  Trying query: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT response, httpstatus FROM responses WHERE transactionId = '17ee4e015a38f5273b3802c985205bcaeed8bb66b2b89e0a570b4122af71b85f855f3ec785a5b83b1bd0db8b216c10e68bb3ed54ebaf8bc2573109c3ed4ab77e';
[2019/06/07 21:12:11][INFO][loginUserRequest]  Received request to login a user.
[2019/06/07 21:12:11][INFO][verifyModel]  Verifying model format...
[2019/06/07 21:12:11][INFO][verifyModel]  Attempting to deserialize JSON to POJO
[2019/06/07 21:12:11][INFO][verifyModel]  Successfully deserialized JSON to POJO.
[2019/06/07 21:12:11][INFO][verifyModel]  Model has been validated.
[2019/06/07 21:12:11][INFO][process]  Building client...
[2019/06/07 21:12:11][INFO][process]  Building WebTarget...
[2019/06/07 21:12:11][INFO][process]  Starting invocation builder...
[2019/06/07 21:12:11][INFO][process]  Setting payload of the request
[2019/06/07 21:12:11][INFO][process]  Sending request...
[2019/06/07 21:12:11][INFO][process]  This is a POST request
[2019/06/07 21:12:11][INFO][process]  Sent!
[2019/06/07 21:12:11][INFO][report]  EMAIL: gmehta1@uci.edu
[2019/06/07 21:12:11][INFO][report]  SESSIONID: null
[2019/06/07 21:12:11][INFO][report]  TRANSACTIONID: bfa6c3211715f46a3c1a186c52f62565db604e282194ef0f0220506313c2bc6b78589f27a4c6df26c6adfea2d12cf63a98ef83b220937fb1b815156fed5d287d
[2019/06/07 21:12:11][INFO][report]  Trying query: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT response, httpstatus FROM responses WHERE transactionId = 'bfa6c3211715f46a3c1a186c52f62565db604e282194ef0f0220506313c2bc6b78589f27a4c6df26c6adfea2d12cf63a98ef83b220937fb1b815156fed5d287d';
[2019/06/07 21:12:17][INFO][searchMovieRequest]  Returns only basic information about the movie from the movies and ratings tables.
[2019/06/07 21:12:17][INFO][searchMovieRequest]  The query params are: {offset=[], year=[], director=[], limit=[], genre=[], title=[Love]}
[2019/06/07 21:12:17][INFO][searchMovieRequest]  Email: gmehta1@uci.edu
[2019/06/07 21:12:17][INFO][searchMovieRequest]  SessionID: e39263631c152462484a35af1718126cf824c54891675807bc34a4fce1570d49f7c0a2763d5f4f458b191bccd218c248d5fc4dc02dc9d3f841b7ebfc19cfabbd
[2019/06/07 21:12:17][INFO][searchMovieRequest]  TransactionID: e387e8e43e8bb9862fec4d2d79107de4e6403fc593425ed3ec121b864803693b082e20f62b2a2086f8a4e2086206698a7e52b1b2a16265c9a2ca74281425ee1e
[2019/06/07 21:12:17][INFO][searchMovieRequest]  Verifying session with IDM...
[2019/06/07 21:12:17][INFO][searchMovieRequest]  Building client...
[2019/06/07 21:12:17][INFO][searchMovieRequest]  Building URI...
[2019/06/07 21:12:17][INFO][searchMovieRequest]  Setting path to endpoint...
[2019/06/07 21:12:17][INFO][searchMovieRequest]  Building WebTarget...
